FIPS,damage,deaths,injuries,cost,cost_percent_of_median,cost_bins,danger_bins
31181,13827160.0,1.0,0.0,22827160.0,48.32934949452178,2,2
31183,4416200.0,0.0,2.0,4516200.0,9.561636584978563,1,2
31185,28031160.0,16.0,1.0,172081160.0,364.3278674641401,3,3
32001,1166050.0,3.0,16.0,28966050.0,61.3265230508654,2,0
32003,251945600.0,1056.0,1421.0,9826995600.0,20805.580056105435,5,3
32005,24833160.0,4.266666666666667,25.13333333333333,64489826.666666664,136.5369748936996,3,2
32007,21281900.0,0.0,9.0,21731900.0,46.01048007198433,2,3
32009,903000.0,1.0,7.0,10253000.0,21.70751071825544,2,0
32011,389000.0,0.0,3.0,539000.0,1.1411633938495738,0,0
32013,6332100.0,2.0,78.0,28232100.0,59.772614195733865,2,0
32015,120500.0,0.0,4.0,320500.0,0.678558196157307,0,0
32017,43510000.0,0.0,14.0,44210000.0,93.60080453077859,2,2
32019,670834010.0,8.600000000000001,93.8,752924010.0,1594.0803683904091,4,3
32021,641145700.0,0.0,57.0,643995700.0,1363.4588471920817,4,2
32023,7069500.0,3.0,17.0,34919500.0,73.93108558725454,2,3
32027,1269550.0,3.0,16.0,29069550.0,61.54565182871963,2,0
32029,21264760.0,3.6,18.8,54604760.0,115.60844757317525,3,2
32031,38679210.0,7.2666666666666675,49.13333333333333,106535876.66666667,225.55629421831722,3,4
32033,132000.0,0.0,1.0,182000.0,0.38532789922193406,0,0
32510,24990160.0,4.266666666666667,26.13333333333333,64696826.666666664,136.97523244940805,3,2
33001,18955720.0,4.0,49.0,57405720.0,121.53860159847562,3,3
33003,32596000.0,0.0,8.0,32996000.0,69.85867781718098,2,3
33005,43677800.0,4.0,25.0,80927800.0,171.33922616842216,3,2
33007,16163000.0,12.0,41.0,126213000.0,267.2164293653734,3,3
33009,50755450.0,5.0,8.0,96155450.0,203.57899751230613,3,3
33011,84650400.0,13.0,23.0,202800400.0,429.3662202932303,3,3
33013,25416500.0,2.0,13.0,44066500.0,93.29698830254591,2,3
33015,59717000.0,6.0,64.0,116917000.0,247.53506589742233,3,4
33017,13217520.0,1.0,30.0,23717520.0,50.214407452495635,2,3
33019,19067000.0,5.0,5.0,64317000.0,136.17106864976446,3,2
34001,1575477040.0,30.0,130.0,1851977040.0,3920.9803419255804,4,3
34003,79463450.0,15.0,30.0,215963450.0,457.23484888583073,3,3
34005,376041330.0,27.0,547.0,646391330.0,1368.5308421108348,4,3
34007,68491420.0,12.0,579.0,205441420.0,434.95775154819245,3,3
34009,1389481050.0,29.0,103.0,1655631050.0,3505.2793097972794,4,3
34011,111686600.0,3.0,19.0,139636600.0,295.6366908378765,3,2
34013,26832500.0,14.0,21.0,153882500.0,325.7979145715344,3,2
34015,75421220.0,16.0,65.0,222671220.0,471.4364473614566,3,3
34017,8541000.0,21.0,3.0,197691000.0,418.5486688191394,3,2
34019,228651700.0,16.0,75.0,376401700.0,796.9125072778278,4,3
34021,371435350.0,22.0,245.0,581685350.0,1231.536230349865,4,3
34023,1375660600.0,38.0,301.0,1732710600.0,3668.47107394273,4,4
34025,23632339310.0,62.0,1023.0,24241489310.0,51323.74807600698,5,3
34027,323493380.0,19.0,94.0,499193380.0,1056.8853649499815,4,3
34029,22285186020.0,63.0,574.0,22880886020.0,48443.09748584132,5,4
34031,32946750.0,27.0,21.0,276996750.0,586.4537130154025,3,3
34033,73433900.0,6.0,62.0,130533900.0,276.3645794738792,3,2
34035,720858910.0,6.0,137.0,781708910.0,1655.0233631503734,4,3
34037,412398500.0,11.0,68.0,514798500.0,1089.9243105912242,4,3
34039,17207500.0,15.0,39.0,154157500.0,326.38014079288627,3,2
34041,138079570.0,8.0,56.0,212879570.0,450.70570052400353,3,2
35001,24559750.0,11.566666666666665,27.5,130034749.99999999,275.30778595246915,3,2
35003,8337000.0,4.666666666666666,20.0,51336999.99999999,108.68999100195838,3,1
35005,402839250.0,13.0,15.0,520589250.0,1102.184406923199,4,3
35006,1997833.333333333,3.333333333333333,3.0,32147833.33333333,68.0629510047813,2,1
35007,8484500.0,2.6666666666666665,18.0,33384500.0,70.68120467898163,2,4
35009,224133250.0,14.0,48.0,352533250.0,746.3785529031917,4,2
35011,867500.0,0.0,0.0,867500.0,1.8366590800825704,0,1
35013,26481000.0,0.0,9.0,26931000.0,57.017943153548934,2,2
35015,21099700.0,5.0,41.0,68149700.0,144.2856084264013,3,3
35017,1736250.0,3.0,3.0,28886250.0,61.157571587360394,2,1
35019,2293500.0,4.0,0.0,38293500.0,81.07447202667655,2,1
35021,32000.0,0.0,0.0,32000.0,0.06774996030275764,0,1
35023,85500.0,2.0,4.0,18285500.0,38.713809347377335,2,1
35025,40184500.0,2.0,8.0,58584500.0,124.03429841740328,3,3
35027,99325000.0,3.0,16.0,127125000.0,269.14730323400204,3,3
35028,1521208666.6666665,0.6666666666666666,0.6666666666666666,1527241999.9999998,3233.4557772720054,4,0
35029,899000.0,0.0,0.0,899000.0,1.9033504472555973,0,1
