id,time,location,latitude,longitude,depth,magnitude,url
hv70116556,2018-05-04 22:32:54.650,"19km SSW of Leilani Estates, Hawaii",19.3181667,-154.9996667,5.81,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/hv70116556
hv70116566,2018-05-04 22:37:18.600,"17km S of Volcano, Hawaii",19.2728333,-155.2446667,7.91,4.61,https://earthquake.usgs.gov/earthquakes/eventpage/hv70116566
hv70116581,2018-05-04 22:42:42.500,"13km S of Volcano, Hawaii",19.3103333,-155.2173333,7.74,4.64,https://earthquake.usgs.gov/earthquakes/eventpage/hv70116581
hv70116601,2018-05-04 22:48:19.500,"8km WSW of Volcano, Hawaii",19.4128333,-155.3158333,2.64,4.66,https://earthquake.usgs.gov/earthquakes/eventpage/hv70116601
hv70117041,2018-05-05 00:37:10.680,"16km E of Pahala, Hawaii",19.215,-155.3168333,9.29,4.93,https://earthquake.usgs.gov/earthquakes/eventpage/hv70117041
hv70117676,2018-05-05 03:30:15.740,"44km SSE of Volcano, Hawaii",19.0588333,-155.0411667,7.82,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/hv70117676
hv70118241,2018-05-05 06:11:08.990,"17km SSW of Leilani Estates, Hawaii",19.3205,-154.9758333,2.35,4.06,https://earthquake.usgs.gov/earthquakes/eventpage/hv70118241
hv70123771,2018-05-06 13:26:07.980,"33km ESE of Pahala, Hawaii",19.1001667,-155.2055,9.35,4.25,https://earthquake.usgs.gov/earthquakes/eventpage/hv70123771
us1000e2hn,2018-05-10 23:52:16.840,"12km SSW of Leilani Estates, Hawaii",19.3623,-154.9523,-0.02,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/us1000e2hn
hv70148657,2018-05-12 07:25:01.240,"14km SW of Leilani Estates, Hawaii",19.367,-155.0071667,5.88,4.23,https://earthquake.usgs.gov/earthquakes/eventpage/hv70148657
hv70152547,2018-05-13 09:53:30.870,"12km SSE of Leilani Estates, Hawaii",19.367,-154.8675,11.86,4.44,https://earthquake.usgs.gov/earthquakes/eventpage/hv70152547
hv70163032,2018-05-16 18:30:45.910,"4km WSW of Volcano, Hawaii",19.4136667,-155.28,0.45,4.43,https://earthquake.usgs.gov/earthquakes/eventpage/hv70163032
hv70191882,2018-05-25 22:43:40.680,"4km WSW of Volcano, Hawaii",19.4126667,-155.2811667,0.44,4.11,https://earthquake.usgs.gov/earthquakes/eventpage/hv70191882
hv70202927,2018-05-29 03:39:36.560,"8km S of Volcano, Hawaii",19.354,-155.2453333,0.93,4.12,https://earthquake.usgs.gov/earthquakes/eventpage/hv70202927
hv70251812,2018-06-09 07:37:36.710,"5km SW of Volcano, Hawaii",19.4003333,-155.2763333,0.98,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/hv70251812
hv70261537,2018-06-11 10:45:48.830,"5km WSW of Volcano, Hawaii",19.4188333,-155.2903333,-0.36,4.12,https://earthquake.usgs.gov/earthquakes/eventpage/hv70261537
hv70265111,2018-06-14 11:34:42.560,"5km SW of Volcano, Hawaii",19.4006667,-155.2755,1.23,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/hv70265111
hv70271176,2018-06-15 17:04:27.440,"4km SW of Volcano, Hawaii",19.4018333,-155.2731667,1.1,4.09,https://earthquake.usgs.gov/earthquakes/eventpage/hv70271176
hv70276171,2018-06-16 18:03:59.240,"4km SW of Volcano, Hawaii",19.4025,-155.2678333,0.68,4.06,https://earthquake.usgs.gov/earthquakes/eventpage/hv70276171
hv70279521,2018-06-17 11:28:22.740,"5km SW of Volcano, Hawaii",19.3988333,-155.2728333,0.29,4.02,https://earthquake.usgs.gov/earthquakes/eventpage/hv70279521
hv70280141,2018-06-17 14:20:12.390,"5km SW of Volcano, Hawaii",19.4016667,-155.2748333,1.16,4.21,https://earthquake.usgs.gov/earthquakes/eventpage/hv70280141
hv70284766,2018-06-18 13:39:04.560,"5km SW of Volcano, Hawaii",19.4013333,-155.2778333,1.42,4.09,https://earthquake.usgs.gov/earthquakes/eventpage/hv70284766
hv70291726,2018-06-19 15:05:56.010,"4km WSW of Volcano, Hawaii",19.4106667,-155.271,-0.93,4.15,https://earthquake.usgs.gov/earthquakes/eventpage/hv70291726
hv70291696,2018-06-20 00:24:19.920,"17km SE of Volcano, Hawaii",19.3296667,-155.1046667,6.84,4.56,https://earthquake.usgs.gov/earthquakes/eventpage/hv70291696
us1000ewex,2018-06-20 11:38:50.120,"5km SW of Volcano, Hawaii",19.4,-155.2742,0.47,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/us1000ewex
hv70297401,2018-06-21 04:31:56.690,"5km SW of Volcano, Hawaii",19.4006667,-155.2746667,1.24,4.14,https://earthquake.usgs.gov/earthquakes/eventpage/hv70297401
hv70320041,2018-06-25 19:42:07.880,"5km SW of Volcano, Hawaii",19.398,-155.2716667,0.58,4.28,https://earthquake.usgs.gov/earthquakes/eventpage/hv70320041
hv70331641,2018-06-28 04:02:47.400,"4km WSW of Volcano, Hawaii",19.4186667,-155.2791667,0.42,4.03,https://earthquake.usgs.gov/earthquakes/eventpage/hv70331641
hv70332436,2018-06-28 07:44:42.650,"4km WSW of Volcano, Hawaii",19.417,-155.2781667,0.78,4.07,https://earthquake.usgs.gov/earthquakes/eventpage/hv70332436
hv70338351,2018-06-29 12:47:45.210,"4km WSW of Volcano, Hawaii",19.4166667,-155.2765,0.87,4.07,https://earthquake.usgs.gov/earthquakes/eventpage/hv70338351
hv70342106,2018-06-30 07:06:10.110,"4km WSW of Volcano, Hawaii",19.418,-155.2768333,0.8,4.11,https://earthquake.usgs.gov/earthquakes/eventpage/hv70342106
hv70343426,2018-06-30 13:10:41.760,"4km WSW of Volcano, Hawaii",19.4183333,-155.2751667,0.45,4.18,https://earthquake.usgs.gov/earthquakes/eventpage/hv70343426
hv70419657,2018-07-14 04:13:33.600,"4km WSW of Volcano, Hawaii",19.4193333,-155.2768333,0.79,4.36,https://earthquake.usgs.gov/earthquakes/eventpage/hv70419657
hv70432922,2018-07-16 21:42:35.470,"5km SW of Volcano, Hawaii",19.3993333,-155.2765,0.37,4.04,https://earthquake.usgs.gov/earthquakes/eventpage/hv70432922
hv70496917,2018-07-30 08:03:03.210,"14km SE of Volcano, Hawaii",19.3508333,-155.1226667,7.38,4.07,https://earthquake.usgs.gov/earthquakes/eventpage/hv70496917
hv70502242,2018-07-31 10:29:59.750,"6km WSW of Volcano, Hawaii",19.4018333,-155.2895,0.42,4.11,https://earthquake.usgs.gov/earthquakes/eventpage/hv70502242
